Frame, Time (ms), Delta (ms) , Memory (mb)
  528,6516.051,11.623,4547
  529,6527.451,11.400,4547
  530,6539.226,11.775,4547
  531,6551.133,11.907,4547
  532,6562.137,11.004,4547
  533,6573.931,11.794,4546
  534,6585.903,11.972,4546
  535,6595.958,10.055,4546
  536,6608.856,12.898,4546
  537,6619.980,11.124,4546
  538,6631.918,11.938,4546
  539,6643.917,11.998,4546
  540,6655.482,11.566,4546
  541,6667.159,11.677,4546
  542,6678.605,11.446,4546
  543,6689.894,11.288,4546
  544,6701.182,11.289,4546
  545,6711.913,10.731,4546
  546,6723.981,12.068,4546
  547,6734.627,10.646,4546
  548,6746.826,12.199,4546
  549,6758.138,11.312,4546
  550,6770.043,11.905,4546
  551,6781.987,11.944,4546
  552,6793.398,11.411,4546
  553,6804.262,10.864,4546
  554,6816.194,11.932,4546
  555,6827.982,11.788,4546
  556,6840.079,12.097,4546
  557,6851.000,10.921,4546
  558,6862.891,11.891,4546
  559,6873.861,10.970,4546
  560,6885.366,11.505,4546
  561,6896.303,10.937,4546
  562,6908.975,12.672,4546
  563,6920.918,11.943,4546
  564,6932.366,11.448,4546
  565,6943.944,11.578,4546
  566,6954.396,10.452,4546
  567,6965.966,11.570,4546
  568,6978.234,12.268,4546
  569,6989.499,11.264,4546
  570,7000.560,11.061,4546
  571,7012.474,11.915,4546
  572,7023.685,11.210,4546
  573,7035.140,11.456,4546
  574,7045.792,10.651,4546
  575,7057.152,11.361,4546
  576,7069.127,11.975,4546
  577,7079.889,10.762,4546
  578,7092.546,12.657,4546
  579,7103.583,11.037,4546
  580,7114.914,11.330,4546
  581,7126.895,11.981,4546
  582,7138.558,11.664,4546
  583,7149.729,11.170,4546
  584,7161.319,11.591,4546
  585,7172.979,11.659,4546
  586,7183.641,10.663,4546
  587,7196.407,12.766,4546
  588,7206.589,10.182,4546
  589,7218.529,11.940,4546
  590,7229.692,11.163,4546
  591,7242.563,12.871,4546
  592,7253.083,10.520,4546
  593,7263.348,10.265,4546
  594,7276.108,12.760,4546
  595,7287.107,10.999,4546
  596,7298.429,11.322,4546
  597,7310.293,11.864,4546
  598,7322.247,11.953,4546
  599,7333.931,11.685,4546
  600,7345.631,11.700,4546
  601,7356.411,10.780,4546
  602,7368.210,11.799,4546
  603,7378.959,10.749,4546
  604,7390.238,11.279,4546
  605,7401.838,11.600,4546
  606,7412.868,11.030,4546
  607,7424.654,11.786,4546
  608,7436.463,11.809,4546
  609,7448.206,11.742,4546
  610,7459.534,11.329,4546
  611,7470.968,11.434,4546
  612,7481.056,10.088,4546
  613,7493.926,12.870,4546
  614,7504.283,10.357,4546
  615,7516.160,11.877,4546
  616,7527.611,11.451,4546
  617,7539.061,11.449,4546
  618,7550.380,11.320,4546
  619,7562.344,11.964,4546
  620,7573.395,11.050,4546
  621,7584.550,11.156,4546
  622,7596.846,12.296,4546
  623,7608.861,12.015,4546
  624,7619.485,10.624,4546
  625,7629.821,10.336,4546
  626,7642.239,12.418,4546
  627,7652.729,10.489,4546
  628,7663.275,10.547,4546
  629,7676.291,13.015,4546
  630,7687.471,11.181,4546
  631,7699.110,11.639,4546
  632,7710.947,11.837,4546
  633,7721.700,10.753,4546
  634,7733.458,11.758,4546
  635,7745.556,12.098,4546
  636,7756.979,11.423,4546
  637,7768.652,11.673,4546
  638,7779.875,11.223,4546
  639,7791.729,11.853,4546
  640,7802.966,11.238,4546
  641,7815.040,12.073,4546
  642,7826.167,11.127,4546
  643,7837.409,11.243,4546
  644,7848.690,11.281,4546
  645,7860.512,11.822,4546
  646,7872.376,11.864,4546
  647,7883.714,11.338,4546
  648,7896.046,12.332,4546
  649,7908.219,12.173,4546
  650,7919.561,11.341,4546
  651,7930.517,10.956,4546
  652,7943.465,12.949,4546
  653,7954.417,10.951,4546
  654,7966.541,12.124,4546
  655,7978.295,11.755,4546
  656,7991.267,12.971,4546
  657,8001.914,10.647,4546
  658,8012.157,10.244,4546
  659,8023.896,11.738,4546
  660,8036.225,12.329,4546
  661,8048.222,11.998,4546
  662,8060.305,12.083,4546
  663,8071.688,11.383,4546
  664,8083.359,11.671,4546
  665,8095.752,12.393,4546
  666,8107.386,11.634,4546
  667,8118.860,11.474,4546
  668,8130.123,11.262,4546
  669,8142.395,12.272,4546
  670,8153.963,11.569,4546
  671,8165.995,12.031,4546
  672,8177.179,11.185,4546
  673,8188.073,10.894,4546
  674,8199.683,11.609,4546
  675,8211.593,11.910,4546
  676,8223.156,11.564,4546
  677,8234.620,11.464,4546
  678,8246.813,12.193,4546
  679,8257.828,11.015,4546
  680,8269.799,11.970,4546
  681,8281.605,11.807,4546
  682,8293.188,11.583,4546
  683,8304.075,10.887,4546
  684,8315.794,11.719,4546
  685,8327.666,11.872,4546
  686,8338.627,10.961,4546
  687,8350.507,11.879,4546
  688,8362.374,11.868,4546
  689,8373.960,11.586,4546
  690,8384.860,10.900,4546
  691,8396.482,11.622,4546
  692,8407.984,11.502,4546
  693,8419.992,12.008,4546
  694,8431.656,11.664,4546
  695,8444.239,12.583,4546
